Index,FEN,Moves
34175,8/3r2pk/p1pN1p1p/1pPq4/1P1bRP1P/P2P2P1/4Q1K1/8 w - - 1 33,e2g4 d7d6 c5d6 f6f5
34176,2r4r/pp2kp2/4p2p/3p2pQ/4q3/1P2P1PP/P4P2/1RR3K1 w - - 8 28,c1c8 e4b1 c8c1 b1c1
34177,8/5pp1/5k1p/2p1pq2/8/1B6/P3K3/5R2 b - - 1 50,g7g5 f1f5 f6f5 a2a4
34178,1r3k2/2N4R/p5r1/1p6/5Kb1/1B6/PPP5/8 b - - 13 34,b8b6 h7f7 f8g8 f7f6
34179,2r1kr2/5RBQ/p3p1p1/1p5p/2p3n1/2P1q3/PP4PP/5R1K b - - 0 29,f8f7 h7g8 e8d7 g8f7
34180,r1r3k1/5p1p/3R3P/6P1/1p2PQ2/1P6/PB4q1/1K2R3 w - - 11 44,e1f1 g2c2 b1a1 a8a2 a1a2 c8a8 d6a6 a8a6
34181,8/8/1R6/P3k3/4bp2/3p4/2pK4/8 w - - 0 65,b6b8 f4f3 b8f8 e4f5
34182,2kr3r/ppp5/7q/5pp1/2PN2P1/2Q1P3/PP4R1/R5K1 w - - 2 24,d4f5 h6h1 g1f2 h1a1
34183,1k1r3r/4qpp1/B1p1p3/3n3p/Pp6/1P3P1P/4QP2/RN3RK1 w - - 0 23,f1d1 e7g5 g1f1 d5f4
34184,6k1/1pp2p2/3p1Rnp/p2P4/8/P2P3P/BPP1rQPK/3q4 w - - 3 31,f2f5 e2g2 h2g2 g6h4 g2g3 h4f5
34185,1q1Q3k/6p1/5N1p/4b3/8/6PP/PrP2P2/3R2K1 b - - 2 32,b8d8 d1d8
34186,r6k/1QR3p1/p6p/8/1P4P1/P1q2P1P/6B1/3r3K w - - 2 34,h1h2 c3e5 f3f4 e5f4
34187,r4k2/ppp5/3pP3/3p1pr1/3n3p/7P/PPPKB2P/5RR1 b - - 1 20,d4e6 g1g5 e6g5 f1f5 f8e7 f5g5
34188,rn4k1/p3qp1R/2p2bp1/3n4/p1B2pP1/3PpK2/P6Q/8 b - - 0 29,g8f8 h7h8 f6h8 h2h8
34189,3r1r1k/1p5p/p5p1/2q5/3n4/P4B1P/1P2QPP1/R3R1K1 w - - 5 25,e2e5 c5e5 e1e5 f8f3
34190,R7/8/P4kp1/5p2/8/7P/2p2PPK/2r5 w - - 0 35,a6a7 c1h1 h2h1 c2c1q
34191,2r2rk1/p2q1ppp/1p2p3/3n4/4Q3/1nBB4/1P3PPP/R1R3K1 b - - 5 21,d5f6 c3f6 d7d3 e4d3
34192,2r3k1/p4pp1/4p2p/2b1B3/5N2/Pr1b4/5PPP/R1R3K1 b - - 2 28,b3a3 a1a3 c5f2 g1f2
34193,8/k1p5/P1R5/3PK3/8/r7/8/8 b - - 3 60,a3a6 c6c7 a7b8 d5d6
34194,8/k7/6Q1/8/6PP/pq6/6K1/8 w - - 0 77,g6g7 b3b7 g7b7 a7b7 g4g5 a3a2
34195,5q1k/pQ5p/6p1/1p2Pbr1/2pP4/2P1P3/PP1B3P/5R1K w - - 0 30,e3e4 f5e4 b7e4 f8f1
34196,8/7k/3p2p1/3Q2q1/6Bp/1P5P/P4PP1/3Rr2K w - - 1 35,h1h2 g5f4 g2g3 f4f2 d5g2 h4g3
34197,b4rk1/3n1p1p/4p1p1/1p1pPnP1/2pP1Pq1/2P2N2/1P1QN2P/1B3R1K b - - 6 24,d7c5 b1f5 g6f5 d4c5
34198,4rrk1/1Q2n1pp/p2Bqp2/1p5P/3P2P1/4P3/P1PK4/R5R1 w - - 2 25,d6c5 e7d5 b7d5 e6d5
34199,1r3r1k/6pp/p1p1p3/4p3/P3P3/R1b5/2P1RPPP/6K1 w - - 0 27,a3c3 b8b1 e2e1 b1e1
34200,5rk1/pp3ppp/1q2p3/4P3/nn6/1N4P1/PP2QPBP/3R2K1 w - - 1 23,e2c4 a4b2 c4d4 b2d1
34201,4r3/pp1q1pkp/2pp2p1/8/2PP2r1/4P2Q/PP3P2/R4K1R b - - 1 24,g4g1 f1g1 d7h3 h1h3
34202,6k1/p4p1p/1p3p2/3p1P2/3r4/3n2P1/1P1BR2P/6K1 b - - 2 25,g8f8 d2h6 f8g8 e2e8
34203,6k1/1pq2p2/5p1p/P2Q2p1/3P1P2/4P1PP/2rb4/RR4K1 w - - 3 32,b1b7 d2e3 g1h1 c2c1
34204,2n5/r4k2/2pP3R/p1P2Pp1/Pp1p4/5K2/1P6/8 b - - 0 44,a7d7 h6h7 f7e8 h7h8
34205,6rk/Rpb3rp/6pQ/4p3/2Pp2P1/1q1P1N1P/4RP2/6K1 w - - 0 30,f3e5 b3d1 g1g2 d1e2
34206,8/8/2K1p2p/1p2P3/p1p2Pk1/P1P3P1/8/8 w - - 1 68,c6d6 b5b4 a3b4 a4a3 b4b5 a3a2 b5b6 a2a1q
34207,4rnk1/1qp1bp2/1p4p1/6Pp/P3p2P/1PPQ1N2/1K1RRP2/8 w - - 0 33,d3e4 e7a3 b2a3 e8e4
34208,1r4k1/1q3pb1/p5p1/3NNpPp/b1pP3P/P1P5/4R1Q1/6K1 b - - 0 35,b8e8 d5f6 g7f6 g2b7
34209,4r1k1/p4ppp/4r3/8/2p2n2/B2n4/PP1RNPPP/R4K2 w - - 8 24,e2f4 e6e1 a1e1 e8e1
34210,6k1/pp1Rbrpp/1qp1Q3/4p3/1P2P3/2N5/P1P2PPP/6K1 w - - 2 21,d7e7 b6f2 g1h1 f2e1
34211,8/3rkp2/4p3/p3q1Q1/7P/6R1/1P4PK/8 b - - 2 37,f7f6 g5e5 f6e5 g3g7 e7e8 g7d7
34212,8/8/3N1p1p/8/n7/1kpKP3/5PPP/8 w - - 3 40,d6e4 a4b2 d3e2 c3c2
34213,8/1p5k/7p/P5pK/1P4R1/2Br4/8/8 w - - 2 37,g4c4 d3h3 h5g4 h3h4 g4g3 h4c4
34214,8/2R2p2/3pk1p1/4b2p/P6B/3B4/1r4KP/8 w - - 7 49,d3c2 d6d5 c7c8 e6d7
34215,2r5/5kq1/3p1p2/p1p1p3/PpR1PPN1/1P1P2Br/1P6/2Q2RK1 w - - 0 33,g1g2 g7g4 c1e3 c8g8
34216,2k5/ppp5/8/8/3K3p/3R2rP/PPP5/8 b - - 5 28,b7b6 d3g3 h4g3 d4e3
34217,6k1/1r3pbp/pN3Rp1/2PP4/4q3/P1Q4P/5PP1/6K1 b - - 0 37,g7f6 c3f6 e4c2 d5d6 c2c5 d6d7 b7d7 b6d7
34218,4r2k/6p1/4q2p/pR2n3/3p4/3P3P/PP1B2P1/4Q1K1 w - - 2 27,d2a5 e5f3 g2f3 e6g6 g1f2 e8e1
34219,1r3rk1/1pp5/p1n1q2p/2PpP1p1/3Pbp2/P1B4P/1R3PPK/3QR1N1 b - - 10 27,g8g7 e1e4 d5e4 d4d5 f8d8 b2d2
34220,8/7p/3k4/1p4p1/3K2P1/1P5P/8/8 w - - 0 40,d4e4 d6c5 e4f5 c5b4 f5g5 b4b3
34221,2r5/1K5p/P7/2P5/3k3P/8/8/8 b - - 2 67,c8e8 c5c6 d4c5 c6c7
34222,6N1/2R2bNp/5p2/p4Pk1/4P3/3n3P/3b2P1/6K1 w - - 1 44,g1h2 d2f4 h2g1 f4c7
34223,5r2/2p3b1/3p1q1k/1p1P4/p4p2/P1P5/KP5Q/6R1 b - - 3 38,f6h4 h2h4
34224,6k1/1b6/p5r1/4p3/P2n1P2/QP2R2P/3r1P2/2R2K2 w - - 3 40,e3e5 b7g2 f1e1 d4f3
34225,r4rk1/1p3ppp/1q3b2/3R4/8/1P1Q1N2/5PPP/4R1K1 b - - 2 21,g7g6 d5d6 b6d6 d3d6
34226,8/8/p7/1p2p3/4P1pp/P1P1K1k1/5R2/8 w - - 0 56,e3e2 h4h3 f2f5 h3h2 f5h5 g3g2
34227,8/8/7p/2Bkpp2/p2P1K1P/6P1/5P2/8 w - - 0 63,d4e5 d5c5 f4f5 a4a3 e5e6 c5d6
34228,q5k1/2p1rp1p/6p1/P1p1p3/1rN1n3/1P2Q3/2P2PPP/R2R2K1 w - - 0 22,e3e4 a8e4 d1d8 g8g7
34229,rq3rk1/1p3pp1/1Q2p1np/3p4/8/2R4P/4BPP1/1R4K1 b - - 1 28,a8a6 e2a6 b8e5 c3e3 b7a6 e3e5
34230,2r1r3/pR5p/3p2k1/2b2pP1/2B5/1P5R/P5PP/7K w - - 1 35,g2g4 e8e1 h1g2 e1g1 g2f3 f5g4 f3f4 c8f8
34231,3r1rk1/pp5p/2p1p1p1/6q1/nP1PQ3/P7/4K3/B5RR b - - 0 28,f8f4 e4e6 g8f8 g1g5
34232,3r4/2p1p1bk/pp2p1pp/4n3/4Q3/BPP1R1NP/1P1r1qPK/4R3 b - - 1 31,e5d3 e1f1 d3f4 f1f2
34233,8/4R3/1nN2kpp/8/7P/8/2r2PP1/6K1 w - - 6 31,c6d4 c2c1 g1h2 f6e7
34234,r4rk1/1b3p2/2n2Ppp/ppp1pN2/3pP1q1/3PbR2/PPPN2BP/R2Q3K b - - 1 19,g6f5 f3g3 g8h8 g3g4
34235,1k6/pp4p1/2q5/8/5Q1P/3rP3/P1P5/2K5 b - - 1 30,c6c7 f4c7 b8c7 c2d3
34236,q5k1/bR3p1p/4p1p1/p3P1P1/2Rr4/PQ6/7P/6K1 w - - 0 35,b7a7 a8a7 c4d4 a7d4
34237,2k5/1p4rp/pQpP4/2P2n2/P6n/6rP/5R1K/5R2 w - - 0 30,b6a7 g3g2 f2g2 g7g2 h2h1 f5g3
34238,4r1k1/1b3pp1/5n1p/2q1pN2/4P1P1/3P1N1P/1R2BRK1/8 b - - 0 27,g7g6 f5h6 g8g7 b2b7
34239,2r3k1/5ppp/1p2r3/pPb4P/P3Pq2/2R2P2/2KN3P/5QR1 b - - 1 34,c5g1 c3c8 e6e8 c8e8
34240,8/1Q4pk/p3q2p/8/1P2p3/6P1/P4PK1/8 b - - 0 43,e6a2 b7e4 h7h8 e4a8 a2g8 a8a6
34241,4rbkr/5p1p/B3pqp1/2Q1n3/2Pp2P1/P2P3P/1P2PP2/R1B1K2R w KQ - 1 23,c5d4 e5f3 e2f3 f6d4
34242,8/pkp5/rpn1p3/3nP1p1/4Q1P1/1P2P3/2P4P/1K1R4 w - - 1 27,b1b2 a6a2 b2a2 d5c3 a2a3 c3e4
34243,8/3r1k1p/2p3p1/p1n2p2/2P4P/1P2KP2/P1N1R1P1/8 w - - 4 31,c2d4 f5f4 e3f4 d7d4
34244,5rk1/2p1p1bp/p2p2pq/1p1Pn3/4Nr2/PB5P/1PP1QPP1/3R1RK1 w - - 6 22,c2c3 e5f3 g2f3 h6h3
34245,r4k2/7p/4R1p1/2q2p2/2BN4/1Qn5/5PPP/6K1 b - - 0 28,c5d4 b3b4 f8g7 b4b7 g7h6 b7a8
34246,3r2k1/3Pq2p/p1nR1ppQ/1pP5/4p3/P3P1P1/1B5P/6K1 b - - 2 29,d8d7 b2f6 d7d6 f6e7
34247,r3r1k1/pb3p1p/1p1R2p1/6q1/2B5/1P2PP2/P3Q1PP/4R1K1 w - - 1 24,e3e4 g5c5 e2e3 c5d6
34248,8/2r3kp/1N1K2p1/Pn6/1P6/1NnP1R1P/8/8 w - - 7 48,d6e5 c7e7 e5f4 c3e2
34249,4k2r/pr2qpp1/3bp3/P6p/2pp1Pn1/2P1P1N1/1P4PP/R1BQ1RK1 w k - 0 19,d1d4 e7h4 h2h3 h4g3 h3g4 h5g4
34250,6k1/5qBp/6p1/8/4NP2/1r6/1Q5P/1K4R1 w - - 0 36,b2b3 f7b3 g7b2 b3d3
34251,6k1/7p/5p2/3p2p1/2pPq3/1nP2NPP/Q4PK1/8 w - - 1 45,a2b2 h7h5 b2a2 g5g4
34252,3r3k/pp6/n1b2q1p/6pP/2QNr3/2P5/PP3PP1/2KR3R b - - 0 24,b7b5 c4c6 f6c6 d4c6
34253,r5k1/5pp1/7p/2Qp4/1P6/4P3/2q2PPP/6K1 w - - 0 27,c5c2 a8a1 c2b1 a1b1
34254,2r3k1/Q3qppp/p7/1p1Np3/4b3/4P3/PP4PP/2R2RK1 b - - 2 24,e7a7 c1c8
34255,8/8/4k3/p1p3p1/2P1p3/PPK5/6P1/8 w - - 0 41,b3b4 c5b4 a3b4 a5a4
34256,2rr4/1b2k1pp/p3p3/b1p1Pp2/2PN1P2/BP1R2K1/6PP/3R4 w - - 0 27,d4c2 d8d3 d1d3 b7e4
34257,3r1r1k/p3q1p1/1p1ppn1p/8/3P1B2/1P2PPQ1/P4P1P/R4RK1 w - - 5 21,e3e4 f6h5 f4d2 h5g3
34258,7b/p3k3/1p1p2p1/3p2N1/5N2/3PP3/PPP3n1/2K5 b - - 0 30,g2e3 f4g6 e7f6 g6h8 f6g5 h8f7
34259,8/1p4p1/2p1pk1p/p6P/P1PPK1P1/1P6/8/8 b - - 1 32,f6g5 e4e5 g5g4 e5e6 g4h5 d4d5
34260,8/4k1p1/8/4PPKp/pp5P/5n2/1P6/1B6 w - - 2 42,g5f4 f3d2 b1a2 b4b3
34261,1rr2k2/5pp1/Q3pq1p/8/BP1Pp3/2P4P/5PP1/R5K1 b - - 0 28,c8c3 a6d6 f8g8 d6b8
34262,5QR1/4r2p/p4p2/1p1p1kp1/4p1P1/1P2q2P/P6K/8 b - - 0 44,f5f4 f8f6
34263,2r3k1/Q4ppp/4p3/8/1b4b1/3rB2P/P1P2PP1/2q2KNR w - - 0 21,e3c1 d3d1
34264,8/8/2R5/2P1k3/5p2/1P2p3/2r5/4K1R1 w - - 0 41,b3b4 c2c1 e1e2 c1g1
34265,5rk1/6p1/1p1p3p/3Pp2n/1PP1N2b/2B1Rr1P/5P2/2R3K1 w - - 2 31,c1c2 h4f2 e4f2 f3e3
34266,4r1k1/p4ppp/1p1p4/8/PP6/7P/5PP1/2R4K b - - 0 24,e8e4 c1c8 e4e8 c8e8
34267,3R1rk1/3P1ppp/8/4R3/8/5NK1/2p3PP/5r2 b - - 2 33,c2c1q d8f8 g8f8 d7d8q
34268,1r2q1k1/1p3pp1/pPb4p/3p1Q2/8/3B3P/5PP1/1R4K1 b - - 2 32,e8e6 f5h7 g8f8 h7h8 f8e7 h8b8
34269,r4rk1/pp5p/4QppB/3n4/4b3/1P1q4/P4PPP/2R3K1 b - - 0 22,f8f7 c1c8 a8c8 e6c8 f7f8 c8f8
34270,r1r3k1/6qp/b3pnp1/p1Q5/Ppn5/1B3P2/1PP1N1P1/2KR2NR w - - 1 22,c5g5 f6e4 b3c4 e4g5
34271,5r1k/p1q1p3/1p1p1r2/2p2BQp/2P5/1P4R1/P5PP/6K1 b - - 0 32,f6f5 g5h6
34272,r4r1k/5pp1/p6p/3p3q/3BPbb1/1PP2P2/P1B3Q1/R3R1K1 b - - 0 28,g4f3 g2g7
34273,2r1r1k1/p1R2pp1/7p/2B2b2/8/2P2PQ1/PPP1q1PP/R5K1 w - - 1 21,a1e1 e2e1 g3e1 e8e1
34274,6k1/ppp2r1p/4Np2/2PP2p1/1PQ5/P6P/5qPK/8 b - - 0 33,f7e7 d5d6 c7d6 c5d6
34275,8/1p6/pk3p2/5Rp1/1P3rP1/P5K1/6P1/8 b - - 3 42,f4f5 g4f5 b6c7 g3g4 c7d6 g4h5
34276,8/p7/4pp1p/2Pk1p2/r2P4/P1RK1PP1/7P/8 b - - 2 37,a4d4 d3e3 f5f4 g3f4
34277,1R6/1p1r1k1p/p1p2pp1/P4q2/1PP5/7P/5PP1/2Q3K1 w - - 3 36,c1h6 d7d1 g1h2 f5e5 g2g3 e5b8 h6h7 f7e6
34278,4rk2/pq3pp1/1p3b2/3p1N2/4r3/4PQ1P/PP3P2/1K1R2R1 b - - 5 25,b7c6 f3h5 e4h4 f5h4
34279,4rr1k/1p3p1p/p4Pp1/2p1q3/P2p3Q/4n2N/1PP2RPP/4R1K1 b - - 7 24,e5e4 h4h6 e3f5 h6f8 e8f8 e1e4
34280,1n6/r3kpp1/3np2p/p3N3/N2P4/4P3/5PPP/1R4K1 b - - 3 25,b8d7 e5c6 e7e8 c6a7
34281,3r4/2q2pk1/2p1b1p1/p1P1R2p/5Q2/1P6/5PPP/4R1K1 w - - 4 30,f4g5 f7f6 e5e6 f6g5 e6e7 c7e7
34282,r1bq2k1/ppp2rB1/3p1pQ1/3P4/2n5/5N2/P4PPP/4R1K1 b - - 0 21,f7g7 e1e8 d8e8 g6e8
34283,8/8/8/5pK1/4k1pP/6P1/8/8 b - - 2 55,e4e5 h4h5 e5e6 h5h6 e6f7 g5f5
34284,6B1/R6p/1r1p1p1k/2pP1P2/2P4r/1P2K3/P5P1/8 b - - 20 52,h6g5 a7g7 g5h6 g7h7 h6g5 h7g7
34285,r2q1r2/pp1bp1bk/5npp/3pP3/3B4/2N5/PP1QB1PP/R4RK1 b - - 0 21,f6g4 e5e6 d7e6 e2g4 e6g4 d4g7
34286,1k6/1pp5/pr3p1N/n2rp3/1q6/1PpP3P/P1P2PP1/K1QR3R w - - 4 29,h6g4 a5b3 c2b3 d5a5
34287,8/8/2pp4/1p3pk1/p6P/P1P1K3/1P6/8 b - - 0 41,g5h4 e3f4 d6d5 f4f5
34288,8/6pp/4pp2/Pk1p4/1P1P1P2/2K3P1/8/8 b - - 0 49,g7g5 f4g5 f6g5 g3g4
34289,8/q3NkpQ/5p2/pr6/3r4/5R1P/P5P1/R5K1 w - - 1 29,e7c6 d4d1 g1h2 a7c7 f3g3 b5g5 h7h5 g5h5
34290,r2qk1r1/5p1p/p1b1p3/2RpPp2/5Q2/1P6/P2N1P1P/R6K b q - 2 24,d5d4 c5c6 g8g4 f4f3
34291,b2r2k1/p2P3p/2q3p1/6b1/2P2p2/3Bp2P/P3Q1P1/1R1R3K w - - 6 39,b1b5 f4f3 g2f3 c6f3 e2f3 a8f3 h1g1 f3d1 b5g5 d8d7
34292,r1q1k3/pR2npp1/P6r/2pP1b2/4NP1p/2PQP2P/6P1/1R4K1 b - - 1 37,e8f8 d5d6 e7c6 d3d5
34293,8/1b5p/6pk/R3Bp2/4P3/P4B2/1rr2PPP/2R3K1 w - - 1 29,c1c2 b2b1 c2c1 b1c1 f3d1 c1d1
34294,6k1/1b1pq1p1/4p1Np/2p4B/3n4/3P4/1PP3PP/5Q1K b - - 4 25,e7g5 f1f8 g8h7 f8h8
34295,6r1/p3q1rk/1p2PRbp/3p4/8/2P1B1PQ/PP5P/6K1 b - - 2 34,h6h5 h3h5 g6h5 f6h6
34296,2b2rk1/1p4p1/2nR1p1p/2Q1p3/7N/1qB4P/1P3PP1/6K1 b - - 2 35,b3a4 h4g6 a4a1 g1h2
34297,1b1r2k1/p4p2/1q4p1/3P1p1p/2R2NnP/4r1P1/P2Q2B1/3N1RK1 w - - 0 27,c4c6 b6c6 d5c6 d8d2 d1e3 g4e3
34298,1r4k1/p5pp/4b3/P3p3/2P1B3/3P1R1P/2q3P1/5R1K b - - 0 24,b8b1 f3f8
34299,7k/p4rp1/2R4p/8/4B1K1/r1P5/6PP/8 b - - 2 39,a3a4 c6c8 f7f8 c8f8
34300,5rk1/2p1Nq1p/1p1p2p1/4p3/p3P2Q/Pn5P/1r6/3RK1R1 b - - 3 32,g8h8 e7g6 f7g6 g1g6
34301,2kr3r/pp6/2p3R1/3p3p/1qnP1P2/2NQ4/PPP4P/2K4R w - - 1 22,b2b3 b4a3 c1d1 c4b2 d1d2 b2d3
34302,4r1k1/p2n2p1/1p2qpQp/2r1pN2/2P4P/1P6/P4PP1/3RR1K1 b - - 3 32,d7f8 g6g7
34303,8/8/K7/P7/8/5kp1/8/8 w - - 0 57,a6b6 g3g2 a5a6 g2g1q
34304,6k1/1b3ppp/2q1p3/1p6/1Pp2P2/2B4P/1r3RP1/1B1Q3K b - - 0 29,b2f2 d1d8 c6e8 d8e8
34305,3r3r/R1pk2pp/Q7/2P1p3/2P3qP/3P1p2/3B1P1K/5R2 w - - 1 27,a6b5 d7e6 b5c6 d8d6 c6f3 g4f3
34306,R7/1B6/3k2p1/5p2/2P3p1/3K4/P4bPr/8 w - - 0 45,a8d8 d6c7 d8g8 c7b7
34307,1r3rk1/1Q1PRpp1/8/1p6/2p3b1/6P1/1q3P1P/4RBK1 w - - 1 37,b7b8 f8b8 e7e8 g8h7 e8b8 g4d7
34308,4r1k1/p5pp/bp2R3/3p4/1B6/7P/P4RP1/6K1 b - - 0 28,e8e6 f2f8
34309,4r1k1/p4pp1/1p1N3p/4n3/P1P1rP1n/4B1Pq/3R3P/5RKQ b - - 0 30,e5g4 d6e4 g4e3 f1e1
34310,6k1/1p4p1/5p2/p1P1p3/P6P/1R1n2PK/1Rnr1P2/8 w - - 5 31,b2c2 d3f2 h3g2 d2c2
34311,r1b2r2/pp1p1p1k/6Np/2p5/3b2n1/3B1QPq/PPP2P1P/R1B1R1K1 b - - 0 21,f7g6 e1e7 h7g8 d3c4 d7d5 c4d5 c8e6 d5e6 g8h8 e6g4 f8f3 g4h3
34312,5R2/5ppk/7p/4Pq2/5B2/7b/1P1Q1P2/2R3K1 w - - 1 30,f4h6 f5g4 g1h2 g4g2
34313,8/R5pk/2p1P3/2PpQ3/1K1P4/4P1qp/2b5/8 b - - 1 42,g3e5 d4e5 h3h2 a7a1
34314,2r5/1b3pkp/p5p1/1p1PP3/q4P1P/3R2P1/P5B1/1Q5K w - - 1 32,d5d6 b7g2 h1g2 a4e4 g2f2 c8c3 d3c3 e4b1
34315,8/1p4k1/2p4p/3p2p1/p2P2P1/P1P3KP/1P3R2/4r3 w - - 7 35,h3h4 e1e3 g3h2 g5h4
34316,r4r1k/pb5p/2p1Q1p1/1p2n1N1/3b4/1B1P4/P1P3PP/1R5K w - - 4 25,g5f7 f8f7 e6d6 f7f4
34317,8/1p2nk2/p2Q1N2/8/7P/8/q4PP1/6K1 w - - 5 39,f6e4 a2b1 g1h2 b1e4
34318,rn2k2r/p4ppp/2p1q1n1/1p2N3/1B1PP3/Q7/PP3PPP/2R2RK1 w kq - 2 20,c1c6 b8c6 e5c6 e6c6
34319,2r1n1rk/pp3pqp/3p4/3Np3/P1P5/3Q3P/2P2PP1/1R3RK1 w - - 2 23,d5e7 g7g2
34320,3rk2r/ppq1bp2/7p/1Q2p3/8/7P/PPP2PP1/3R1RK1 b k - 2 21,c7c6 b5e5 e8g8 e5e7
34321,3R4/p1p2p2/2b1pBk1/4K1P1/2p4r/2P2P2/P7/8 b - - 6 30,c6f3 d8g8 g6h5 g8h8 h5g4 h8h4
34322,6k1/6bp/2p1p1p1/5b2/N7/Pr2BP2/1P3KPP/2R5 b - - 4 29,b3e3 f2e3 g7h6 f3f4
34323,1r5r/pPp1k1p1/2Bq3p/2bKp3/5p2/2NP4/PPP1Q1PP/R1B2R2 w - - 6 21,d5c4 d6d4 c4b5 d4b4 b5a6 b4b6
34324,8/8/p1p5/P2p4/3P1k2/5P2/5K2/8 b - - 6 56,f4g5 f2g3 g5f5 f3f4 f5e4 g3g4 c6c5 d4c5 d5d4 c5c6
34325,r2r2k1/1b1B1p2/pp2pPpp/8/2P1N1P1/3R1P2/PP5P/5K2 b - - 0 26,b7c6 d7c6 d8d3 c6a8
34326,B3k2r/4ppBp/p7/1p3p2/8/2q3P1/P1P4P/2KR4 b k - 1 21,c3g7 a8c6 e8f8 d1d8
34327,5rk1/6p1/p1R1p1pp/5q2/1P1P1n2/P7/3Q1PPP/2R3K1 w - - 1 24,c6c8 f5g5 d2f4 g5f4
34328,r7/P7/R7/7p/8/4K3/6k1/8 b - - 3 50,h5h4 e3f4 g2f1 a6a2 f1e1 f4g4 e1d1 g4h4
34329,5r1k/pp4p1/3b4/3N4/2PPQ1Pq/1P1R4/1P4K1/8 w - - 1 32,d3h3 f8f2 g2g1 d6h2 g1h1 h4h3 e4e8 h8h7 e8h5 h3h5
34330,2rk1r2/pbppb1p1/8/1p1qP1N1/8/6Q1/PB3PPP/R3R1K1 w - - 4 22,e5e6 d5g5 e6d7 c8a8
34331,8/8/7K/5kpP/8/4p3/4B3/8 w - - 2 68,h6h7 g5g4 h7g7 g4g3
34332,4b3/R4ppp/p2rpk2/4N3/P4P2/4K3/6PP/8 b - - 0 35,e8a4 a7f7
34333,5r2/R6R/6p1/6k1/P7/1P1B4/2Pr2PP/6K1 w - - 1 27,a7a6 d2d1 d3f1 d1f1
34334,r4rk1/2pRQ2p/1p2p1p1/p7/2P1b3/P1q5/4nPPP/5R1K b - - 0 21,g6g5 e7e6 g8h8 e6e4 c3g7 d7g7
34335,3r3k/p4Bbp/6p1/1Q3p2/3p4/2q3PP/P3RP1K/8 b - - 12 38,d4d3 e2e8 g7f8 e8d8
34336,8/pp6/2p2p2/4pK1k/1PP5/6P1/P7/8 w - - 2 32,f5f6 e5e4 f6f5 e4e3
34337,4rrk1/p4qpp/2p5/3bQ3/4N3/3P4/PPP2P1P/R4RK1 w - - 1 25,e5d4 e8e4 d3e4 f7g6 g1h1 d5e4 d4e4 g6e4
34338,2r2k2/2p2p1p/1p1pr2q/p7/2Q1NR2/P5P1/1PP2P1P/6K1 b - - 9 25,h6h3 f4f7 f8f7 e4g5 f7e7 g5h3
34339,r1R3k1/p3Qp1p/1p4p1/3bP3/8/6P1/4qP1P/2R3K1 b - - 7 27,a8c8 c1c8 g8g7 e7f8
34340,8/5R2/1p2B1pk/6n1/PP5r/8/5P2/5K2 w - - 3 49,f7f6 h6g7 f6g6 g7g6
34341,1r1r2k1/2p2p2/1p4p1/p1P2p1p/3P1P1P/4P3/1R3P2/1R4K1 b - - 0 26,b6c5 b2b8 d8b8 b1b8
34342,r3r1k1/p2b1ppp/2p5/2q4n/3p1B1Q/2PB1P2/PP4P1/4RR1K b - - 4 23,h5f4 h4h7 g8f8 h7h8
34343,r5k1/1b3ppp/pq2p3/1pn4r/1Pn1P3/2P1BP2/2Q1B1PP/R4RK1 w - - 0 23,b4c5 c4e3 c5b6 e3c2
34344,8/1pp5/4k3/p2pP3/5P1K/2P1R3/Pr6/8 w - - 0 35,f4f5 e6f5 e5e6 b2h2 h4g3 h2h8
34345,1r4R1/p1p4p/2p2Q2/2k5/2PpP3/qPb4P/P1P2P2/1K1R4 w - - 4 30,f6e5 c5b6 e5d4 c3d4 g8b8 b6c5 d1d4 c5d4
34346,6k1/4pp1p/1R4pb/2P1n3/4P3/6P1/6BP/6K1 w - - 4 32,c5c6 h6e3 g1h1 e3b6
34347,8/8/2p1pk1p/3r2p1/P3RPP1/8/7P/6K1 w - - 0 31,e4e5 d5e5 f4e5 f6e5 a4a5 e5d6
34348,5qk1/1p3pp1/2pNn3/2PpPQP1/rP6/8/6P1/4R1K1 b - - 0 32,a4b4 g5g6 b4f4 f5h3
34349,r4k2/1p3ppp/p2p4/2pnb3/6B1/2P4P/qP2QPP1/3R1RK1 w - - 0 22,d1d5 a2d5
34350,5rk1/2bn2pp/4pp2/2pq4/4NP2/1r1PBR2/1PQ3PP/5RK1 w - - 9 30,e3c5 d7c5 e4c5 c7b6 g1h1 b6c5 c2b3 d5b3
34351,7k/6pp/1p1p4/p4q2/1PPpp3/P2R4/5P1K/4R3 b - - 0 37,e4d3 e1e8 f5f8 e8f8
34352,5rk1/ppq2p2/4pQpp/3rP3/3P3P/6R1/P4PP1/3R2K1 b - - 2 31,c7d8 g3g6 f7g6 f6g6 g8h8 g6h6
34353,2r5/pp2p3/3p1kp1/5p2/7Q/1qr2P2/1P4P1/1K1R3R b - - 3 27,f6e6 h1e1 c3e3 e1e3 b3e3 d1e1
34354,1n4k1/5p2/4p1p1/3pP1P1/1b1P3P/pP1q4/P1N5/1K2Q3 w - - 0 38,e1b4 d3d1
34355,8/p4p2/3kpp2/2p5/1P5P/P1p1P1P1/2B1bK2/8 b - - 1 28,c5b4 f2e2 b4a3 c2b3
